Points "B_1 spline" "B_1 Derivative" "B_2 spline"
0.49 0.329827486936554 0.833852468546761 0.454905998831163
0.495 0.334005240854466 0.837247988569714 0.459245373749553
0.5 0.338199955205802 0.840636538301704 0.463576358357166
0.505 0.342411593574312 0.844017489705031 0.467898872179659
0.51 0.346640116371663 0.847390201964464 0.472212834231834
0.515 0.350885480773252 0.850754021367554 0.476518163016648
0.52 0.355147640653429 0.854108281187756 0.480814776524254
0.525 0.359426546520136 0.857452301570587 0.485102592231098
0.53 0.363722145448992 0.860785389422967 0.48938152709905
0.535 0.368034381016831 0.864106838305983 0.493651497574592
0.54 0.372363193234709 0.867415928331245 0.497912419588052
0.545 0.376708518480409 0.870711926061062 0.502164208552879
0.55 0.381070289430452 0.873994084412651 0.506406779364982
0.555 0.385448434991641 0.877261642566584 0.510640046402107
