Points "B_1 spline" "B_1 Derivative" "B_2 spline"
0.588 0.578230590670751 0.309459289273297 0.555700235671653
0.594 0.580050169215729 0.297409849590156 0.560556813550114
0.6 0.581803602744352 0.287407071223949 0.565388529875341
0.606 0.583503093323512 0.279423670713427 0.570195635988869
0.612 0.585160656495933 0.273424901667802 0.574978407275079
0.618 0.586788079088739 0.269369412858246 0.57973714163267
0.624 0.588396882088847 0.267210077383822 0.584472157805856
0.63 0.589998288383206 0.26689478374567 0.589183793582254
0.636 0.591603195112406 0.268367181487406 0.593872403865464
0.642 0.593222150347344 0.271567375772165 0.598538358631517
0.648 0.59486533376965 0.276432566840867 0.603182040779328
0.654 0.596542541016657 0.282897631738123 0.607803843886255
0.66 0.59826317133981 0.290895646943934 0.612404169880724
0.666 0.60003621822073 0.300358351662108 0.616983426644607
0.672 0.601870262590477 0.311216552453272 0.621542025558703
