a planet
5.83515491373353 1.24671975729688 -0.442019583275478
5.94847502668673 1.19525177161441 -0.465396490948923
6.06074227012753 1.14197082046627 -0.48281043645331
6.17185865547455 1.08763537572792 -0.494197186277136
6.28173032800069 1.03298683832219 -0.499593466772326
6.39026769853016 0.978735193536035 -0.499130761301967
6.49738543310399 0.925546445466419 -0.493027116827083
6.60300240165592 0.874032028871249 -0.481577376662518
6.70709584075305 0.82471511243867 -0.465132377484291
6.81090135387297 0.777497246197755 -0.443800865837904
6.91462339846937 0.732774848466879 -0.417788477695813
7.01830530978617 0.690998085945996 -0.387363853586991
7.12196330138605 0.652599893073948 -0.352844748910956
7.2256083014341 0.61798104096417 -0.314592209041429
7.32924923360428 0.587504436465933 -0.273006710421174
7.43289325620693 0.561491061432323 -0.228524446249813
7.53654558918974 0.540216355121729 -0.181613281490731
7.6402093896515 0.523906911271058 -0.132768246772012
7.74388576406809 0.512737554270845 -0.0825065372913258
7.84757393399464 0.506828901892655 -0.0313620304367396
7.95127154874133 0.506245530467807 0.0201206219540139
8.05497512269552 0.510994848597685 0.0713922293998935
8.15868056354605 0.521026760318634 0.121905494205937
8.26238374641002 0.536234161263468 0.171121480309037
8.36608108491905 0.556454266555914 0.218515952268897
8.46977005003122 0.581470723681903 0.263585424480508
8.57344959375072 0.611016424303659 0.305852784767681
8.67712044498052 0.644776901364833 0.344872392238068
8.78078525808254 0.682394185259305 0.380234591284521
8.8844486092001 0.723470995809204 0.411569625129054
8.98811684747998 0.767575162385652 0.438550966974568
9.09179781973143 0.814244189625823 0.460898111816588
9.19550049480482 0.862989915360287 0.478378884426354
9.29923451802716 0.913303235634401 0.490811319408321
9.40395234426288 0.965128399794952 0.498107027510579
9.51010316775471 1.01815428287978 0.50004017132608
9.6176967963115 1.07180877624606 0.496372146604957
9.72666326821889 1.12543427131384 0.486932023752047
9.83691725068499 1.17832951178505 0.471634441442989
9.94836884342162 1.22976746349294 0.450487543498368
10.0609251001712 1.27901005872325 0.423598107374079
10.174490154513 1.32532338938711 0.391174437977133
10.2889652821288 1.367993625084 0.353526817625275
10.4042491078368 1.40634328798826 0.311065302029459
10.5202379614844 1.43974735521296 0.26429475906084
10.6368263323418 1.46764860973564 0.213807180734012
10.7539073501821 1.48957166976955 0.16027143729419
10.8713732191151 1.5051351829373 0.104420765764766
10.9891155449907 1.51406176254033 0.0470383783153708
11.1070255245646 1.51618535060162 -0.0110583682415711
11.2249940005019 1.51145579838561 -0.0690347793611786
11.3429114197843 1.49994054690259 -0.126056144284837
11.4606677605328 1.48182336445962 -0.181305119978145
11.5781525041487 1.45740016117329 -0.233998729849651
11.6952547258756 1.42707196335288 -0.283404525606538
11.8118633568826 1.39133520563892 -0.32885545197532
11.9278676371231 1.35076959308282 -0.369762952608711
12.0431577391025 1.30602389623594 -0.405627878435986
12.1576255053893 1.25780015720841 -0.436048820178355
12.2711652164458 1.20683688319929 -0.460727590549922
12.3836742966963 1.1538918645241 -0.479471722392495
12.4950538785684 1.0997252608967 -0.4921940089475
12.6052091738415 1.04508354893917 -0.498909267241149
12.7140496455805 0.990684823589688 -0.499728631730242
12.8214890220172 0.937205816846216 -0.494851765805252
12.9274452435994 0.885270860641006 -0.484557408029016
13.0318404760076 0.835442901025329 -0.469192652699553
13.1357047518165 0.787721112247257 -0.448920508950358
