Energy " m=125.97GeV/c²"
113.528 0.0633276684160983
113.586 0.0639179518270385
113.644 0.064516507124178
113.702 0.0651234892106365
113.76 0.0657390566235127
113.818 0.0663633716364069
113.876 0.0669966003653266
113.934 0.0676389128780996
113.992 0.068290483307432
114.05 0.0689514899677444
114.108 0.0696221154759379
114.166 0.0703025468762339
114.224 0.0709929757692517
114.282 0.0716935984454832
114.34 0.0724046160233408
114.398 0.0731262345919533
114.456 0.0738586653589024
114.514 0.0746021248030888
114.572 0.0753568348329391
114.63 0.0761230229501604
114.688 0.076900922419271
114.746 0.0776907724431354
114.804 0.0784928183447528
114.862 0.0793073117555479
114.92 0.0801345108104361
114.978 0.0809746803499377
115.036 0.0818280921296352
115.094 0.0826950250372796
115.152 0.0835757653178632
115.21 0.0844706068069946
115.268 0.0853798511729282
