time sunx Sun sunvx sunvy earthx Earth earthvx earthvy
126300511.135975 631708.859360341 10918260.0949682 0.0836679733696816 0.131867913247911 -60992619786.7818 121808964299.51 -27889.3244565606 -14175.9710826371
129823799.993266 837875.686076949 11480790.030577 0.0266806507887277 0.179698559890453 -129714895358.985 39222521637.9579 -8893.55026290927 -30119.5199634843
133316358.009313 799970.163787689 12111307.3351046 -0.0473337882091859 0.171169356679055 -117079721262.565 -66941541727.2128 15777.9294030619 -27276.4522263516
136777535.537469 544744.333664267 12611471.7803934 -0.0920266830566233 0.111651445685854 -32004444554.7575 -130589162886.069 30675.5610188744 -7437.14856195137
140216480.500731 232070.611966847 12866653.4216952 -0.0798005578464741 0.0383966860881175 72220129344.3823 -113237935125.424 26600.1859488247 16981.1046372942
143646309.428541 53653.3219981678 12912376.0575877 -0.0185389537367911 -0.00339194353832958 131692559333.942 -26338514414.5105 6179.651245597 30910.6478461099
147076308.474327 118131.374141411 12909893.0836738 0.0540818023851751 0.0118366688924627 110199875286.194 76634509011.5864 -18027.2674617251 25834.4437025124
150506714.078349 385978.751283054 13049428.5546921 0.0935030196930776 0.0749461679102298 20917416238.9799 132280158097.157 -31167.6732310259 4797.94402992341
153928768.732025 691420.389436175 13433899.9365994 0.0750794417507637 0.14733999654053 -80896463145.394 106031812266.635 -25026.4805835879 -19333.3321801765
157330045.485462 844446.50415774 14012617.7840561 0.00975551624636786 0.184062882506082 -131905168052.582 14415878754.3716 -3251.83874878931 -31574.294168694
160702083.937869 751530.099109905 14612774.5820839 -0.0619553395556084 0.162038935972477 -100933033036.637 -85217088167.3754 20651.7798518695 -24232.9786574923
164045567.793075 473079.692552455 15050284.5047039 -0.0954824882771697 0.0950271486780497 -8116230850.82071 -131484785806.824 31827.4960923899 -1895.71622601656
167369683.885721 181478.340320545 15243459.0296042 -0.0703666796686292 0.024593849521225 89084219893.1494 -96884122807.4581 23455.5598895431 21582.0501595917
170686372.757282 54035.7440474306 15258720.4676545 -0.0023013575926855 -0.00615250320046137 131565085317.521 -3200280155.37135 767.119197561817 31830.8344001538
174003317.040976 167779.888820146 15268475.038059 0.0671581315096342 0.0214712211929089 93650370393.282 92326791218.1399 -22386.0438365448 22622.9262690304
177319668.262011 453237.18870017 15448195.3744661 0.0955844203747584 0.0908403589694637 -1502062900.05942 131180945852.54 -31861.4734582528 -500.119656487906
180626708.144033 734623.595244223 15869106.14853 0.065160445499846 0.159664059114479 -95297531748.0771 89360996275.494 -21720.1484999487 -23441.3530381598
183913122.428613 838150.36883118 16451936.0932747 -0.00578713793799476 0.185377747880172 -129806456277.063 -7046240450.11906 1929.04597933157 -32012.582626724
